,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths,Active,Admin2,FIPS,Combined_Key
236,237,Unknown,Germany,1621603255000.0,,,5999,0,0,5999,,,"Unknown, Germany"
237,238,,Ghana,1621603255000.0,7.9465,-1.0232,93456,91348,783,1325,,,Ghana
238,239,,Greece,1621603255000.0,39.0742,21.8243,385444,93764,11641,280039,,,Greece
239,240,,Grenada,1621603255000.0,12.1165,-61.679,161,160,1,0,,,Grenada
240,241,,Guatemala,1621603255000.0,15.7835,-90.2308,245247,225210,7952,12085,,,Guatemala
241,242,,Guinea,1621603255000.0,9.9456,-9.6966,22963,20614,155,2194,,,Guinea
242,243,,Guinea-Bissau,1621603255000.0,11.8037,-15.1804,3746,3473,68,205,,,Guinea-Bissau
243,244,,Guyana,1621603255000.0,4.860416,-58.93018,15743,13453,349,1941,,,Guyana
244,245,,Haiti,1621603255000.0,18.9712,-72.2852,13598,12463,276,859,,,Haiti
245,246,,Holy See,1621603255000.0,41.9029,12.4534,27,27,0,0,,,Holy See
246,247,,Honduras,1621603255000.0,15.2,-86.2419,230311,83393,6093,140825,,,Honduras
247,248,,Hungary,1621603255000.0,47.1625,19.5033,801025,661564,29427,110034,,,Hungary
248,249,,Iceland,1621603255000.0,64.9631,-19.0208,6555,6476,29,50,,,Iceland
249,250,Andaman and Nicobar Islands,India,1621603255000.0,11.225999,92.968178,6758,6401,96,261,,,"Andaman and Nicobar Islands, India"
250,251,Andhra Pradesh,India,1621603255000.0,15.9129,79.74,1521142,1302208,9800,209134,,,"Andhra Pradesh, India"
251,252,Arunachal Pradesh,India,1621603255000.0,27.768456,96.384277,23159,20339,89,2731,,,"Arunachal Pradesh, India"
252,253,Assam,India,1621603255000.0,26.357149,92.830441,353574,297902,2507,53165,,,"Assam, India"
253,254,Bihar,India,1621603255000.0,25.679658,85.60484,676045,617397,4241,54407,,,"Bihar, India"
